56.138 -18.929 14.476, 56.136 -18.927 14.476, 56.138 -18.929 14.476, 87.024 -19.692 14.476, 87.243 -19.448 14.476, 87.024 -19.692 14.476, 98.845 -48.449 14.476, 
98.845 -48.449 -41.024, 87.024 -19.692 -41.024, 87.243 -19.448 -41.024, 87.024 -19.692 -41.024, 56.138 -18.929 -41.024, 56.136 -18.927 -41.024, 56.138 -18.929 -41.024, 14.857 -41.567 -41.024,
14.857 -41.567 -42.524, 56.138 -18.929 -42.524, 56.136 -18.927 -42.524, 56.138 -18.929 -42.524, 87.024 -19.692 -42.524, 87.243 -19.448 -42.524, 87.024 -19.692 -42.524, 98.845 -48.449 -42.524,
98.845 -48.449 -44.024, 87.024 -19.692 -44.024, 87.243 -19.448 -44.024, 87.024 -19.692 -44.024, 56.138 -18.929 -44.024, 56.136 -18.927 -44.024, 56.138 -18.929 -44.024, 14.857 -41.567 -44.024,
14.857 -41.567 -45.524, 56.138 -18.929 -45.524, 56.136 -18.927 -45.524, 56.138 -18.929 -45.524, 87.024 -19.692 -45.524, 87.243 -19.448 -45.524, 87.024 -19.692 -45.524, 98.845 -48.449 -45.524,
98.845 -48.449 -47.024, 87.024 -19.692 -47.024, 87.243 -19.448 -47.024, 87.024 -19.692 -47.024, 56.138 -18.929 -47.024, 56.136 -18.927 -47.024, 56.138 -18.929 -47.024, 14.857 -41.567 -47.024,
14.857 -41.567 -48.524, 56.138 -18.929 -48.524, 56.136 -18.927 -48.524, 56.138 -18.929 -48.524, 87.024 -19.692 -48.524, 87.243 -19.448 -48.524, 87.024 -19.692 -48.524, 98.845 -48.449 -48.524,
98.845 -48.449 -50.024, 87.024 -19.692 -50.024, 87.243 -19.448 -50.024, 87.024 -19.692 -50.024, 56.138 -18.929 -50.024, 56.136 -18.927 -50.024, 56.138 -18.929 -50.024, 14.857 -41.567 -50.024,
14.857 -41.567 -51.524, 56.138 -18.929 -51.524, 56.136 -18.927 -51.524, 56.138 -18.929 -51.524, 87.024 -19.692 -51.524, 87.243 -19.448 -51.524, 87.024 -19.692 -51.524, 98.845 -48.449 -51.524,
98.845 -48.449 -53.024, 87.024 -19.692 -53.024, 87.243 -19.448 -53.024, 87.024 -19.692 -53.024, 56.138 -18.929 -53.024, 56.136 -18.927 -53.024, 56.138 -18.929 -53.024, 14.857 -41.567 -53.024,
14.857 -41.567 -54.524, 56.138 -18.929 -54.524, 56.136 -18.927 -54.524, 56.138 -18.929 -54.524, 87.024 -19.692 -54.524, 87.243 -19.448 -54.524, 87.024 -19.692 -54.524, 98.845 -48.449 -54.524,
98.845 -48.449 -56.024, 87.024 -19.692 -56.024, 87.243 -19.448 -56.024, 87.024 -19.692 -56.024, 56.138 -18.929 -56.024, 56.136 -18.927 -56.024, 56.138 -18.929 -56.024, 14.857 -41.567 -56.024,
14.857 -41.567 -57.524, 56.138 -18.929 -57.524, 56.136 -18.927 -57.524, 56.138 -18.929 -57.524, 87.024 -19.692 -57.524, 87.243 -19.448 -57.524, 87.024 -19.692 -57.524, 98.845 -48.449 -57.524,
98.845 -48.449 -59.024, 87.024 -19.692 -59.024, 87.243 -19.448 -59.024, 87.024 -19.692 -59.024, 56.138 -18.929 -59.024, 56.136 -18.927 -59.024, 56.138 -18.929 -59.024, 14.857 -41.567 -59.024,
14.857 -41.567 -60.524, 56.138 -18.929 -60.524, 56.136 -18.927 -60.524, 56.138 -18.929 -60.524, 87.024 -19.692 -60.524, 87.243 -19.448 -60.524, 87.024 -19.692 -60.524, 98.845 -48.449 -60.524,
98.845 -48.449 -62.024, 87.024 -19.692 -62.024, 87.243 -19.448 -62.024, 87.024 -19.692 -62.024, 56.138 -18.929 -62.024, 56.136 -18.927 -62.024, 56.138 -18.929 -62.024, 14.857 -41.567 -62.024,
14.857 -41.567 -63.524, 56.138 -18.929 -63.524, 56.136 -18.927 -63.524, 56.138 -18.929 -63.524, 87.024 -19.692 -63.524, 87.243 -19.448 -63.524, 87.024 -19.692 -63.524, 98.845 -48.449 -63.524,
98.845 -48.449 -65.024, 87.024 -19.692 -65.024, 87.243 -19.448 -65.024, 87.024 -19.692 -65.024, 56.138 -18.929 -65.024, 56.136 -18.927 -65.024, 56.138 -18.929 -65.024, 14.857 -41.567 -65.024,
14.857 -41.567 -66.524, 56.138 -18.929 -66.524, 56.136 -18.927 -66.524, 56.138 -18.929 -66.524, 87.024 -19.692 -66.524, 87.243 -19.448 -66.524, 87.024 -19.692 -66.524, 98.845 -48.449 -66.524,
98.845 -48.449 -68.024, 87.024 -19.692 -68.024, 87.243 -19.448 -68.024, 87.024 -19.692 -68.024, 56.138 -18.929 -68.024, 56.136 -18.927 -68.024, 56.138 -18.929 -68.024, 14.857 -41.567 -68.024,
14.857 -41.567 -69.524, 56.138 -18.929 -69.524, 56.136 -18.927 -69.524, 56.138 -18.929 -69.524, 87.024 -19.692 -69.524, 87.243 -19.448 -69.524, 87.024 -19.692 -69.524, 98.845 -48.449 -69.524,
98.845 -48.449 -71.024, 87.024 -19.692 -71.024, 87.243 -19.448 -71.024, 87.024 -19.692 -71.024, 56.138 -18.929 -71.024, 56.136 -18.927 -71.024, 56.138 -18.929 -71.024, 14.857 -41.567 -71.024,
14.857 -41.567 -72.524, 56.138 -18.929 -72.524, 56.136 -18.927 -72.524, 56.138 -18.929 -72.524, 87.024 -19.692 -72.524, 87.243 -19.448 -72.524, 87.024 -19.692 -72.524, 98.845 -48.449 -72.524,
98.845 -48.449 -74.024, 87.024 -19.692 -74.024, 87.243 -19.448 -74.024, 87.024 -19.692 -74.024, 56.138 -18.929 -74.024, 56.136 -18.927 -74.024, 56.138 -18.929 -74.024,
